epochs,test_name,train_loss,test_loss,train_metric,test_metric,pen,conf
25,test_1/,0.0020921039658880467,0.0022002020709860066,8.226579023349641e-7,1.0829069074978303e-6,l1,g1_1__g2_0.05
26,test_1/,0.0020921039160510533,0.0022002081607147184,8.226588725351399e-7,1.082930289251473e-6,l1,g1_1__g2_0.05
27,test_1/,0.0020921039160510533,0.0022002081607147184,8.226588725351399e-7,1.082930289251473e-6,l1,g1_1__g2_0.05
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l2,g1_1__g2_1
2,test_1/,0.0029934832857690242,0.011279676509686476,3.387285797419976e-5,0.0004503000150354109,l2,g1_1__g2_1
3,test_1/,0.0023088397676071103,0.00848178591375513,2.3928877778868558e-5,0.00034032352712746105,l2,g1_1__g2_1
4,test_1/,0.002289464634847999,0.008417695753580952,1.9064950332110046e-5,0.00027048290489245324,l2,g1_1__g2_1
5,test_1/,0.0006051481453922789,0.001072145980301653,8.70415827820955e-7,2.263657363511881e-6,l2,g1_1__g2_1
6,test_1/,0.0005787100612474594,0.0006170512838868085,8.214026360091773e-7,9.178925977946568e-7,l2,g1_1__g2_1
7,test_1/,0.0005784256778660027,0.0006200321922662945,8.222947199990648e-7,9.366428391283554e-7,l2,g1_1__g2_1
8,test_1/,0.0005782305936198999,0.0006219911699473856,8.240244029292346e-7,9.631178520999144e-7,l2,g1_1__g2_1
9,test_1/,0.0005782208798306803,0.0006221661691345012,8.241215564789586e-7,9.64754751286233e-7,l2,g1_1__g2_1
10,test_1/,0.0005782136110636719,0.0006222975068159903,8.241950900436127e-7,9.659958255279465e-7,l2,g1_1__g2_1
11,test_1/,0.0005782135107810463,0.0006222995965909595,8.241965336033414e-7,9.66018866538558e-7,l2,g1_1__g2_1
12,test_1/,0.0005781989737556473,0.0006231255107379991,8.241234977234483e-7,9.674449028718153e-7,l2,g1_1__g2_1
13,test_1/,0.0005781965437102503,0.0006269228092844674,8.238322834894778e-7,9.738996783813361e-7,l2,g1_1__g2_1
14,test_1/,0.0005781965437102503,0.0006269228092844674,8.238322834894778e-7,9.738996783813361e-7,l2,g1_1__g2_1
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l2,g1_1__g2_10
2,test_1/,0.013717096788681889,0.03445354111009263,0.0004459288122271569,0.001846253596046193,l2,g1_1__g2_10
3,test_1/,0.012680137941577057,0.03242644651101297,0.00026971155757476783,0.0016343528781676984,l2,g1_1__g2_10
4,test_1/,0.000929897013251595,0.0022747341675493538,1.6523670158271645e-6,1.5890534988603506e-5,l2,g1_1__g2_10
5,test_1/,0.0007441704616091615,0.0008662074387246662,8.653878632413998e-7,1.5655666312215564e-6,l2,g1_1__g2_10
6,test_1/,0.0007400596360901155,0.0008389573591518232,8.24877038611943e-7,1.0708217563660715e-6,l2,g1_1__g2_10
